movieId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,2.0,0.0,3.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,4.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,3.5,4.0,4.0,3.0,0.0,4.0,5.0,0.0,3.0
2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0
4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
5,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,3.0,4.5,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
6,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,4.5,4.0,3.0,4.0,0.0,0.0,3.5,5.0,0.0,0.0,4.0,0.0
7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
9,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0
10,0.0,4.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0
11,0.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,2.0,4.0,0.0,0.0,2.5,0.0,0.0,2.0,3.0,4.0,0.0,0.0,3.5,0.0,3.0,0.0,4.0,0.0
14,3.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,4.0,2.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0
